INSERTION SORT
Line[332]: 00:003 sec/mil
Line[333]: 00:002 sec/mil
Line[334]: 00:002 sec/mil
Line[335]: 00:001 sec/mil
Line[336]: 00:002 sec/mil
Line[337]: 00:003 sec/mil
Line[338]: 00:003 sec/mil
Line[339]: 00:002 sec/mil
Line[340]: 00:003 sec/mil
Line[341]: 00:003 sec/mil
Line[342]: 00:002 sec/mil
Line[343]: 00:003 sec/mil
Line[344]: 00:002 sec/mil
Line[345]: 00:003 sec/mil
Line[346]: 00:003 sec/mil
Line[347]: 00:002 sec/mil
Line[348]: 00:003 sec/mil
Line[349]: 00:002 sec/mil
Line[350]: 00:003 sec/mil
Line[351]: 00:003 sec/mil
Line[352]: 00:002 sec/mil
Line[353]: 00:003 sec/mil
Line[354]: 00:003 sec/mil
Line[355]: 00:002 sec/mil
Line[356]: 00:002 sec/mil
Line[357]: 00:002 sec/mil
Line[358]: 00:003 sec/mil
Line[359]: 00:002 sec/mil
Line[360]: 00:003 sec/mil
Line[361]: 00:003 sec/mil
Line[362]: 00:003 sec/mil
Line[363]: 00:002 sec/mil
Line[364]: 00:003 sec/mil
Line[365]: 00:003 sec/mil
Line[366]: 00:002 sec/mil
Line[367]: 00:002 sec/mil
Line[368]: 00:001 sec/mil
Line[369]: 00:002 sec/mil
Line[370]: 00:002 sec/mil
Line[371]: 00:002 sec/mil
Line[372]: 00:001 sec/mil
Line[373]: 00:002 sec/mil
Line[374]: 00:002 sec/mil
Line[375]: 00:002 sec/mil
Line[376]: 00:001 sec/mil
Line[377]: 00:002 sec/mil
Line[378]: 00:002 sec/mil
Line[379]: 00:002 sec/mil
Line[380]: 00:002 sec/mil
Line[381]: 00:001 sec/mil
Line[382]: 00:002 sec/mil
Line[383]: 00:002 sec/mil
Line[384]: 00:002 sec/mil
Line[385]: 00:002 sec/mil
Line[386]: 00:001 sec/mil
Line[387]: 00:002 sec/mil
Line[388]: 00:002 sec/mil
Line[389]: 00:002 sec/mil
Line[390]: 00:001 sec/mil
Line[391]: 00:001 sec/mil
Line[392]: 00:002 sec/mil
Line[393]: 00:002 sec/mil
Line[394]: 00:001 sec/mil
Line[395]: 00:001 sec/mil
Line[396]: 00:002 sec/mil
Line[397]: 00:003 sec/mil
Line[398]: 00:002 sec/mil
Line[399]: 00:002 sec/mil
Line[400]: 00:001 sec/mil
Line[401]: 00:002 sec/mil
Line[402]: 00:002 sec/mil
Line[403]: 00:001 sec/mil
Line[404]: 00:001 sec/mil
Line[405]: 00:002 sec/mil
Line[406]: 00:002 sec/mil
Line[407]: 00:001 sec/mil
Line[408]: 00:002 sec/mil
Line[409]: 00:002 sec/mil
Line[410]: 00:002 sec/mil
Line[411]: 00:001 sec/mil
Line[412]: 00:002 sec/mil
Line[413]: 00:002 sec/mil
Line[414]: 00:002 sec/mil
Line[415]: 00:001 sec/mil
Line[416]: 00:002 sec/mil
Line[417]: 00:002 sec/mil
Line[418]: 00:001 sec/mil
Line[419]: 00:002 sec/mil
Line[420]: 00:002 sec/mil
Line[421]: 00:001 sec/mil
Line[422]: 00:002 sec/mil
Line[423]: 00:002 sec/mil
Line[424]: 00:001 sec/mil
Line[425]: 00:002 sec/mil
Line[426]: 00:002 sec/mil
Line[427]: 00:001 sec/mil
Line[428]: 00:002 sec/mil
Line[429]: 00:002 sec/mil
Line[430]: 00:001 sec/mil
Line[431]: 00:002 sec/mil
Line[432]: 00:002 sec/mil
Line[433]: 00:001 sec/mil
Line[434]: 00:001 sec/mil
Line[435]: 00:002 sec/mil
Line[436]: 00:002 sec/mil
Line[437]: 00:001 sec/mil
Line[438]: 00:002 sec/mil
Line[439]: 00:002 sec/mil
Line[440]: 00:001 sec/mil
Line[441]: 00:002 sec/mil
Line[442]: 00:002 sec/mil
Line[443]: 00:001 sec/mil
Line[444]: 00:002 sec/mil
Line[445]: 00:002 sec/mil
Line[446]: 00:002 sec/mil
Line[447]: 00:001 sec/mil
Line[448]: 00:002 sec/mil
Line[449]: 00:002 sec/mil
Line[450]: 00:001 sec/mil
Line[451]: 00:002 sec/mil
Line[452]: 00:002 sec/mil
Line[453]: 00:001 sec/mil
Line[454]: 00:001 sec/mil
Line[455]: 00:002 sec/mil
Line[456]: 00:002 sec/mil
Line[457]: 00:001 sec/mil
Line[458]: 00:002 sec/mil
Line[459]: 00:002 sec/mil
Line[460]: 00:001 sec/mil
Line[461]: 00:002 sec/mil
Line[462]: 00:002 sec/mil
Line[463]: 00:001 sec/mil
Line[464]: 00:002 sec/mil
Line[465]: 00:002 sec/mil
Line[466]: 00:001 sec/mil
Line[467]: 00:001 sec/mil
Line[468]: 00:002 sec/mil
Line[469]: 00:001 sec/mil
Line[470]: 00:001 sec/mil
Line[471]: 00:002 sec/mil
Line[472]: 00:002 sec/mil
Line[473]: 00:001 sec/mil
Line[474]: 00:002 sec/mil
Line[475]: 00:002 sec/mil
Line[476]: 00:001 sec/mil
Line[477]: 00:002 sec/mil
Line[478]: 00:002 sec/mil
Line[479]: 00:001 sec/mil
Line[480]: 00:001 sec/mil
Line[481]: 00:002 sec/mil
Line[482]: 00:002 sec/mil
Line[483]: 00:001 sec/mil
Line[484]: 00:002 sec/mil
Line[485]: 00:002 sec/mil
Line[486]: 00:001 sec/mil
Line[487]: 00:002 sec/mil
Line[488]: 00:002 sec/mil
Line[489]: 00:001 sec/mil
Line[490]: 00:002 sec/mil
Line[491]: 00:002 sec/mil
Line[492]: 00:001 sec/mil
Line[493]: 00:002 sec/mil
Line[494]: 00:002 sec/mil
Line[495]: 00:001 sec/mil
Line[496]: 00:002 sec/mil
Line[497]: 00:002 sec/mil
Line[498]: 00:001 sec/mil
Line[499]: 00:002 sec/mil
Line[500]: 00:002 sec/mil
Line[501]: 00:001 sec/mil
Line[502]: 00:002 sec/mil
Line[503]: 00:002 sec/mil
Line[504]: 00:001 sec/mil
Line[505]: 00:002 sec/mil
Line[506]: 00:002 sec/mil
Line[507]: 00:001 sec/mil
Line[508]: 00:000 sec/mil
Line[509]: 00:000 sec/mil
Line[510]: 00:000 sec/mil
Line[511]: 00:000 sec/mil
Order Time: 00:993 sec/mil
Total Time: 01:835 sec/mil
